title,ingredients,original_text,source,id,created_date,updated_date,created_by_id,created_by,is_sample
"Veres csipke-liktáriom, azaz csipkebogyó-befőtt","","A csipkebogyót hasítsd kétfelé, tisztítsd ki jól a magvát, s a szúróját dobd ki, a veresét főzd meg borban, és tölts hideg mézet reá, abban főzd meg, míg jó sűrű lészen, s ha akarod, deszkára terítheted, s ha akarod, üvegbe teheted. (Aréna, azaz vesekő ellen jó.)","Szakács mesterségnek könyvecskéje","6936849c5e3eee97212cc563","2025-12-08T07:56:12.560000","2025-12-08T07:56:12.560000","6935c0db222d779da0f09512","marktoth220@gmail.com","false"
"Zöld dió-liktáriom","","Míg a zöld dió kicsiny, Szent János nap, azaz június 24-e előtt két héttel, szedd le; orsóval fúrd által keresztül, s hosszára is, hogy általmenjen az orsó, de ne hasadjon; hideg gyenge hamuból készült lúgban kell áztatni egy hétig, de mindennap új lúgot tölts reá; egy két m úlva tiszta vízbe tedd, de mindennap az orsóval kifúrogasd, hogy a lyuk meg ne rekedjen benne; ha egy hétre szépen kiázik, próbáld meg, főzz meg benne mézes vízben; ha szép gyenge lészen, szedd ki a vízből, rázd ki jól, és tégy a lyukába két szem szegfüvet s egy kis fahéjat, s mézes vízben főzd meg, s rakd ruhára, szálljon ki jól a vize, azután tölts megtisztult hideg forrott mézet reá; ha pedig megvirágoznék a méz, újabban főzd meg a levét, de ezelőtt mindennap forgasd, egyik fazékból a másikba, míg meg ne m főzöd a levét másodszor.","Szakács mesterségnek könyvecskéje","6936849c5e3eee97212cc564","2025-12-08T07:56:12.560000","2025-12-08T07:56:12.560000","6935c0db222d779da0f09512","marktoth220@gmail.com","false"
"Birsalma tésztát így csinálj","","A birsalmát aprón szeldeld meg, a magvát s torzsáját vesd ki; egy fazékba tölts vizet reá, erősen főzzed, mikor forr a víz, akkor tedd belé a birsalmát; mikor osztán jó lágyan megfő a birsalma, egy tiszta fejér ruhába ki kell rakni, mikor jól megszárad a víztől, egy sűrű szitán szűrd át; egy font [1 font = kb. 0,5 kg] nádcukrot mérj, és egy font birsalmát, de a negyedrésze igen szép fejér liszt légyen; a birsalmával osztán erősen gyúrd öszve, amicsoda f ormát akarsz, rá nyomhadd, mikor a kenyér kisül, akkor tedd a kemencébe sülni.","Szakács mesterségnek könyvecskéje","6936849c5e3eee97212cc565","2025-12-08T07:56:12.560000","2025-12-08T07:56:12.560000","6935c0db222d779da0f09512","marktoth220@gmail.com","false"
"A birsalma-julepet, azaz birsalma-szirupot így főzd","","A birsalmát torma reszelővel reszeld meg, keszkenő által facsard meg, egy réz serpenyőbe tedd, s mindaddig főzd, hogy fele elfőjön; azután egy font [1 font = kb. 0,5 kg] nádcukorhoz egy meszely [1 meszely = kb. 4,2 dl] vizet tölts, s egy tojásfehérjét habard a vízbe, úgy töltsd a nádmézre nádcukorra, mindaddig főzd, míg azt a vizet a nádcukor elfövi; mikor osztán a nádcukor úgy megfő, hogy a kanál után felnyúl, mikor lecseppented a kanálról, úgy kell kivenni a tűztől, a tojásfehérjét ki kell vetni belőle, s megfőtt birsalma-lével egybe kell elegyíteni, aminémű édesen szereted, azzal együtt egy óráig főzd. Mikor nádcukrot akarsz t isztítani, mindenkor egy font nádcukorhoz egy icce [1 icce = kb. 8 dl] vizet tölts. A citrom-lévből főzött julepet, azaz szirupot is úgy csináld, mint a birsalma-szirupot: a meggy-lévből, s ribizli-léből is, szintén úgy. Az egres szirupot is, csak hogy az egrest famozsárban kell megtörni; azt is ugyan ruha által facsard meg, s egy mázos fazékba szűrd, egy nap hadd higgadjon, másnap kezdj osztán a fő zéséhez; mikor osztán az üvegbe szűröd, azután egy héttel, egy negyedóráig főzd, s úgy áll többet.","Szakács mesterségnek könyvecskéje","6936849c5e3eee97212cc566","2025-12-08T07:56:12.560000","2025-12-08T07:56:12.560000","6935c0db222d779da0f09512","marktoth220@gmail.com","false"
"A szederjes viola-julepet, azaz viola-szirupot így csináld","","A szederjes violát szedd meg levelenként, s ha egy iccés [1 icce = kb. 8 dl] fazékba teszed, annak tele kell lenni: s azután egy meszely [1 meszely = kb. 4,2 dl] forró vizet tölts reá, igen erősen csináld bé ezüst- vagy ónpalackba, vidd a pincébe, s harmadnapig ott tartsd; azután egy ruha által erősen facsard ki, s főzd meg egy rézmedencében, míg felét elfövi; azután megtisztított nádcukrot, annyit tölts belé, amennyi édesen szereted, azzal együtt is főzd meg, hogy ha sűrűcske lészen, úgy töltsd osztán üvegbe.","Szakács mesterségnek könyvecskéje","6936849c5e3eee97212cc567","2025-12-08T07:56:12.560000","2025-12-08T07:56:12.560000","6935c0db222d779da0f09512","marktoth220@gmail.com","false"
"Eleven gyömbért így csinálj","","Végy friss gyömbért, mosd meg jól, légyen jó erős lúgban nyolc hétig, és ha meg kezdene a lúg penészedni, tölts újabb lúgot reá; azután mosd meg szépen a gyömbért, hogy a haja lemenjen, tedd újabban tiszta hideg vízbe, s hadd álljon nyolc hétig benne; de minden nap új vizet tölts reá; azután ismét mosd meg, és tedd egy tiszta korsóba, tölts nádcukrot reá úgy, hogy két ujjnyival felül légyen a gyömbéren, magához szíván a nádcukrot, minden negyed hétben újítsák meg. Hogy kell nádcukrot olvasztani, lásd feljebb.","Szakács mesterségnek könyvecskéje","6936849c5e3eee97212cc568","2025-12-08T07:56:12.560000","2025-12-08T07:56:12.560000","6935c0db222d779da0f09512","marktoth220@gmail.com","false"
"A mandula-olajat így csináld","","A mandulát egy mozsárban törd meg, mind addig törd, míg (ha ember nyomogatja) érzi, hogy olaja ereszkedjék, úgyannyira, hogy csak olyan légyen, a pépnél mintegy sűrűbb: azután egy lengyel patyolatból csinált zacskóba tedd, úgy kell a sajtóba tenni: csak annyira kell nyomni a sajtóban, hogy két ujja az embernek közéférjen: azután minden órában egyszer-egyszer, ha negyedóra múlva fordítják is a saj tóját, nem árt, csak hadd csepegjen ő magától; elsőben fejér ugyan, de azután megsárgodik.","Szakács mesterségnek könyvecskéje","6936849c5e3eee97212cc569","2025-12-08T07:56:12.560000","2025-12-08T07:56:12.560000","6935c0db222d779da0f09512","marktoth220@gmail.com","false"
"A fejér bis-coctumot, azaz fehér piskótát így csináld","","A szitán átszűrt szép birsalmát, mint akiből a birsalma-sajtot csinálják, másfél öreg kanállal végy olyan birsalmát, egy öreg mázos tálba; egy kevés nádcukrot is tégy közé, ha szereted, egy fél citromnak a levét is facsard belé, két-két tojásfehérjét erősen habard meg egy tányéron, mikor erősen meghabarodik, meg közé csináld; az almát oly erősen habard közé, hogy mint a hó, úgy feltajtékozzék a tojás; úgy kell osztán erősen a birsalmát mind nádcukorral, tojással habarni; de a kanált nem kell a homorú felével felfordítani, hanem alá csak egyfelé keverd négy egész óráig szüntelen, minden negyedórában két-két tojásfehérjét habard közé, s nádcukrot is tégy belé, amennyi édesen szereted, harminchat tojásfehérjét verd annyi birsalmába, egyszer s másszor, mint feljebb mondám, mindaddig keverd, míg ugyan lyukatos lészen a kanálban, mint a költ tészta; azután osztán úgy rakd papirosra, s rostába tedd, s azután kemence hátára tedd fel, hadd száradjon; de alól légyen melegebb néki, felül nem annyira.","Szakács mesterségnek könyvecskéje","6936849c5e3eee97212cc56a","2025-12-08T07:56:12.560000","2025-12-08T07:56:12.560000","6935c0db222d779da0f09512","marktoth220@gmail.com","false"
"A birsalma-sajtot így csináld","","A szép birsalmát forró vízben tedd fel, s hirtelen főzd meg, hogy meg ne veresedjék a birsalma; mindaddig főzd, míg meglágyul jól, osztán hámozd meg, s a reszelőn reszeld meg, azután egy szitán általverd, amennyire gondolod, hogy a forma megtelik; azután minden font [1 font = kb. 0,5 kg] által tört birsalmához másfél font nádcukrot vess, s a nádcukrot m edencébe fel kell tenni, minden egy fontra egy-egy meszely [1 meszely = kb. 4,2 dl] vizet tölts, s mindaddig főzd, míg jó sűrű lesz; azután vedd le a tűzről, s az általtört birsalmát a nádmézbe keverd; aki szerszámosan akarja, aminémű fűszerszámot akár emb er, aprón metélve belévetheti; akik pedig azt nem szeretik, csak egy kis citromhajat aprón megmetélve vetnek belé, s még egyszer a tűzre tészik, s jól hagyják főni, kevervén kanállal, s mikor veszi eszébe, hogy mintegy hámlik a medencéről a liktáriom, le kell venni, s a formába kell tölteni; egy székre a kemence mellé tedd, másnap, amint a metszése van, tiszta papirosra tedd, környül mind megfesd, veres sartlit, azaz vörös színezőanyagot a patikából hozatván egy kis fahajat is közibe tévén; ezeket egy patyo lat ruhába kötvén a sajtot megporozd véle, míg nedves; azután egynéhány napokig a házban kell tartani, szépen béfedni, hogy a por meg ne lepje.","Szakács mesterségnek könyvecskéje","6936849c5e3eee97212cc56b","2025-12-08T07:56:12.560000","2025-12-08T07:56:12.560000","6935c0db222d779da0f09512","marktoth220@gmail.com","false"
"Más sárga birsalma-sajt","","Ezt is úgy főzd, amint feljebb megírtam: csak hogy annak a nádcukrot jobban megfőzd, hogy ugyan sűrű légyen; a nádcukrot csak igen lassú tűznél főzd, az almáját pedig jobban, hogy hirtelen főjön; mandula olajjal megkend, amiben akarod főzni; abba is szintén úgy citromhajat metélj, s arra kétszer vagy háromszor kell olvasztott nádcukrot tölten i.","Szakács mesterségnek könyvecskéje","6936849c5e3eee97212cc56c","2025-12-08T07:56:12.560000","2025-12-08T07:56:12.560000","6935c0db222d779da0f09512","marktoth220@gmail.com","false"
